target,regime,requested_delay,taps,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
low-pass,window,5.85903631,129,46,1,45,0.000241512876,0.00213421418
low-pass,window,5.85903631,129,47,1,46,0.000214458022,0.00189513437
low-pass,window,5.85903631,129,48,1,47,0.000181546973,0.00160430421
low-pass,window,5.85903631,129,49,1,48,0.00016179218,0.00142973398
low-pass,window,5.85903631,129,50,1,49,0.000136264287,0.0012041477
low-pass,window,5.85903631,129,51,1,50,0.000121976914,0.00107789226
low-pass,window,5.85903631,129,52,1,51,0.000102111145,0.000902341348
low-pass,window,5.85903631,129,53,1,52,9.1903294e-05,0.00081213605
low-pass,window,5.85903631,129,54,1,53,7.6384852e-05,0.000675001834
low-pass,window,5.85903631,129,55,1,54,6.92074493e-05,0.000611576169
low-pass,window,5.85903631,129,56,1,55,5.70319935e-05,0.000503983437
low-pass,window,5.85903631,129,57,1,56,5.20937571e-05,0.000460344959
low-pass,window,5.85903631,129,58,1,57,4.24940604e-05,0.000375513835
low-pass,window,5.85903631,129,59,1,58,3.91995712e-05,0.000346400912
low-pass,window,5.85903631,129,60,1,59,3.15894029e-05,0.000279150961
low-pass,window,5.85903631,129,61,1,60,2.94918348e-05,0.000260615057
low-pass,window,5.85903631,129,62,1,61,2.34230548e-05,0.00020698613
low-pass,window,5.85903631,129,63,1,62,2.21881361e-05,0.000196073333
low-pass,window,5.85903631,129,64,1,63,1.73179146e-05,0.000153035894
low-pass,window,5.85903631,129,65,1,64,1.66964853e-05,0.000147544413
low-pass,window,5.85903631,129,66,1,65,1.2762277e-05,0.000112778386
low-pass,window,5.85903631,129,67,1,66,1.25694187e-05,0.000111074126
low-pass,window,5.85903631,129,68,1,67,9.36986922e-06,8.28001722e-05
low-pass,window,5.85903631,129,69,1,68,9.46905499e-06,8.36766625e-05
low-pass,window,5.85903631,129,70,1,69,6.84944391e-06,6.05275402e-05
low-pass,window,5.85903631,129,71,1,70,7.14051611e-06,6.30997029e-05
low-pass,window,5.85903631,129,72,1,71,4.98166529e-06,4.4022252e-05
low-pass,window,5.85903631,129,73,1,72,5.39173123e-06,4.76459452e-05
low-pass,window,5.85903631,129,74,1,73,3.60155816e-06,3.1826446e-05
low-pass,window,5.85903631,129,75,1,74,4.07810566e-06,3.60376269e-05
low-pass,window,5.85903631,129,76,1,75,2.58519452e-06,2.28449882e-05
low-pass,window,5.85903631,129,77,1,76,3.09089481e-06,2.73137882e-05
low-pass,window,5.85903631,129,78,1,77,1.83960531e-06,1.62563248e-05
low-pass,window,5.85903631,129,79,1,78,2.34839688e-06,2.07524418e-05
low-pass,window,5.85903631,129,80,1,79,1.29514424e-06,1.14450014e-05
low-pass,window,5.85903631,129,81,1,80,1.78928758e-06,1.58116743e-05
low-pass,window,5.85903631,129,82,1,81,8.99713982e-07,7.95064168e-06
low-pass,window,5.85903631,129,83,1,82,1.36758144e-06,1.20851184e-05
low-pass,window,5.85903631,129,84,1,83,6.14405361e-07,5.42941087e-06
low-pass,window,5.85903631,129,85,1,84,1.04882655e-06,9.26832772e-06
low-pass,window,5.85903631,129,86,1,85,4.10207528e-07,3.6249443e-06
low-pass,window,5.85903631,129,87,1,86,8.07234036e-07,7.13340983e-06
low-pass,window,5.85903631,129,88,1,87,2.65528915e-07,2.34644042e-06
low-pass,window,5.85903631,129,89,1,88,6.23514971e-07,5.50991116e-06
low-pass,window,5.85903631,129,90,1,89,1.64331413e-07,1.45217281e-06
low-pass,window,5.85903631,129,91,1,90,4.83252093e-07,4.2704285e-06
low-pass,window,5.85903631,129,92,1,91,9.47277777e-08,8.37095602e-07
low-pass,window,5.85903631,129,93,1,92,3.75675556e-07,3.31979028e-06
low-pass,window,5.85903631,129,94,1,93,4.79285899e-08,4.23537982e-07
low-pass,window,5.85903631,129,95,1,94,2.92743437e-07,2.5869312e-06
low-pass,window,5.85903631,129,96,1,95,1.74526683e-08,1.54226693e-07
low-pass,window,5.85903631,129,97,1,96,2.28451929e-07,2.01879649e-06
low-pass,window,5.85903631,129,98,1,97,-1.46417766e-09,-1.29387251e-08
low-pass,window,5.85903631,129,99,1,98,1.78318444e-07,1.57577417e-06
low-pass,window,5.85903631,129,100,1,99,-1.23112674e-08,-1.0879288e-07
low-pass,window,5.85903631,129,101,1,100,1.38994719e-07,1.22827613e-06
low-pass,window,5.85903631,129,102,1,101,-1.76331759e-08,-1.55821812e-07
low-pass,window,5.85903631,129,103,1,102,1.07977568e-07,9.54182077e-07
low-pass,window,5.85903631,129,104,1,103,-1.92758651e-08,-1.70338018e-07
low-pass,window,5.85903631,129,105,1,104,8.33928843e-08,7.36930797e-07
low-pass,window,5.85903631,129,106,1,105,-1.85698994e-08,-1.64099502e-07
low-pass,window,5.85903631,129,107,1,106,6.38345251e-08,5.6409642e-07
low-pass,window,5.85903631,129,108,1,107,-1.64666008e-08,-1.45512958e-07
low-pass,window,5.85903631,129,109,1,108,4.82442752e-08,4.26327647e-07
low-pass,window,5.85903631,129,110,1,109,-1.36390487e-08,-1.20526291e-07
low-pass,window,5.85903631,129,111,1,110,3.5822506e-08,3.16558278e-07
low-pass,window,5.85903631,129,112,1,111,-1.05568579e-08,-9.32894184e-08
low-pass,window,5.85903631,129,113,1,112,2.59617539e-08,2.29420245e-07
low-pass,window,5.85903631,129,114,1,113,-7.54142352e-09,-6.66424634e-08
low-pass,window,5.85903631,129,115,1,114,1.81973784e-08,1.60807588e-07
low-pass,window,5.85903631,129,116,1,115,-4.80663394e-09,-4.24755254e-08
low-pass,window,5.85903631,129,117,1,116,1.21709297e-08,1.07552737e-07
low-pass,window,5.85903631,129,118,1,117,-2.48877788e-09,-2.19929683e-08
low-pass,window,5.85903631,129,119,1,118,7.60294106e-09,6.71860849e-08
low-pass,window,5.85903631,129,120,1,119,-6.68403725e-10,-5.90658656e-09
low-pass,window,5.85903631,129,121,1,120,4.27266078e-09,3.77568823e-08
low-pass,window,5.85903631,129,122,1,121,6.13885046e-10,5.42481292e-09
low-pass,window,5.85903631,129,123,1,122,2.00275193e-09,1.76980277e-08
low-pass,window,5.85903631,129,124,1,123,1.34648287e-09,1.18986734e-08
low-pass,window,5.85903631,129,125,1,124,6.47007223e-10,5.71750878e-09
low-pass,window,5.85903631,129,126,1,125,1.5413045e-09,1.36202838e-08
low-pass,window,5.85903631,129,127,1,126,7.63694096e-11,6.74865372e-10
low-pass,window,5.85903631,129,128,1,127,1.26492626e-09,1.11779695e-08
low-pass,window,34.9295182,129,0,32,-32,8.6727162e-05,0.000586361303
low-pass,window,34.9295182,129,1,32,-31,0.000106537491,0.000720298697
low-pass,window,34.9295182,129,2,32,-30,0.000121291467,0.000820050154
low-pass,window,34.9295182,129,3,32,-29,0.000148096314,0.0010012774
low-pass,window,34.9295182,129,4,32,-28,0.000169708986,0.00114740042
low-pass,window,34.9295182,129,5,32,-27,0.000206270163,0.0013945901
low-pass,window,34.9295182,129,6,32,-26,0.000237704503,0.0016071173
low-pass,window,34.9295182,129,7,32,-25,0.000287970267,0.00194696352
low-pass,window,34.9295182,129,8,32,-24,0.000333512422,0.00225487349
low-pass,window,34.9295182,129,9,32,-23,0.000403182506,0.00272591209
low-pass,window,34.9295182,129,10,32,-22,0.000469088496,0.0031715017
low-pass,window,34.9295182,129,11,32,-21,0.000566489688,0.00383002999
low-pass,window,34.9295182,129,12,32,-20,0.000661996774,0.00447575226
low-pass,window,34.9295182,129,13,32,-19,0.000799475204,0.00540524227
low-pass,window,34.9295182,129,14,32,-18,0.000938427627,0.00634469794
low-pass,window,34.9295182,129,15,32,-17,0.00113463564,0.00767125798
low-pass,window,34.9295182,129,16,32,-16,0.00133819017,0.00904748773
low-pass,window,34.9295182,129,17,32,-15,0.00162200058,0.0109663265
low-pass,window,34.9295182,129,18,32,-14,0.00192333386,0.0130036372
low-pass,window,34.9295182,129,19,32,-13,0.00234090618,0.0158268387
low-pass,window,34.9295182,129,20,32,-12,0.00279389369,0.0188894818
low-pass,window,34.9295182,129,21,32,-11,0.00342236033,0.0231385372
low-pass,window,34.9295182,129,22,32,-10,0.00411886482,0.0278475957
low-pass,window,34.9295182,129,23,32,-9,0.00509550068,0.034450619
low-pass,window,34.9295182,129,24,32,-8,0.00620368424,0.0419430348
low-pass,window,34.9295182,129,25,32,-7,0.00779712458,0.0527162659
low-pass,window,34.9295182,129,26,32,-6,0.00966052527,0.0653146956
low-pass,window,34.9295182,129,27,32,-5,0.0124846254,0.0844084025
low-pass,window,34.9295182,129,28,32,-4,0.015948965,0.107830761
low-pass,window,34.9295182,129,29,32,-3,0.0218830752,0.147951209
low-pass,window,34.9295182,129,30,32,-2,0.0299979215,0.202815588
low-pass,window,34.9295182,129,31,32,-1,0.0518434334,0.350512832
low-pass,window,34.9295182,129,32,32,0,0.147907376,1
low-pass,window,34.9295182,129,33,32,1,0.116091042,0.784890141
low-pass,window,34.9295182,129,34,32,2,0.0864843227,0.584719469
low-pass,window,34.9295182,129,35,32,3,0.0713968325,0.482713129
low-pass,window,34.9295182,129,36,32,4,0.05820514,0.393524254
low-pass,window,34.9295182,129,37,32,5,0.049119543,0.332096642
low-pass,window,34.9295182,129,38,32,6,0.0410314625,0.277413226
low-pass,window,34.9295182,129,39,32,7,0.0349781827,0.236487074
low-pass,window,34.9295182,129,40,32,8,0.0295461253,0.199760999
low-pass,window,34.9295182,129,41,32,9,0.0253331176,0.171276904
low-pass,window,34.9295182,129,42,32,10,0.0215317061,0.145575607
low-pass,window,34.9295182,129,43,32,11,0.0185304118,0.125283892
low-pass,window,34.9295182,129,44,32,12,0.015809121,0.106885278
low-pass,window,34.9295182,129,45,32,13,0.013641049,0.0922269686
low-pass,window,34.9295182,129,46,32,14,0.0116654075,0.0788696805
low-pass,window,34.9295182,129,47,32,15,0.0100852414,0.0681861964
low-pass,window,34.9295182,129,48,32,16,0.00863737217,0.0583971698
low-pass,window,34.9295182,129,49,32,17,0.00747889766,0.0505647375
low-pass,window,34.9295182,129,50,32,18,0.00641070044,0.0433426689
low-pass,window,34.9295182,129,51,32,19,0.00555804933,0.037577905
low-pass,window,34.9295182,129,52,32,20,0.00476603784,0.0322231247
low-pass,window,34.9295182,129,53,32,21,0.00413688065,0.0279694005
low-pass,window,34.9295182,129,54,32,22,0.00354737636,0.023983769
low-pass,window,34.9295182,129,55,32,23,0.00308243158,0.020840283
low-pass,window,34.9295182,129,56,32,24,0.00264228242,0.0178644398
low-pass,window,34.9295182,129,57,32,25,0.00229845684,0.0155398392
low-pass,window,34.9295182,129,58,32,26,0.00196895088,0.0133120533
low-pass,window,34.9295182,129,59,32,27,0.00171470134,0.0115930752
low-pass,window,34.9295182,129,60,32,28,0.00146744339,0.00992136717
low-pass,window,34.9295182,129,61,32,29,0.00127956285,0.00865110912
low-pass,window,34.9295182,129,62,32,30,0.00109361314,0.00739390534
low-pass,window,34.9295182,129,63,32,31,0.000954962946,0.00645649304
low-pass,window,34.9295182,129,64,32,32,0.000814815875,0.00550896037
low-pass,window,34.9295182,129,65,32,33,0.000712703533,0.00481858005
low-pass,window,34.9295182,129,66,32,34,0.00060684045,0.00410284101
low-pass,window,34.9295182,129,67,32,35,0.000531847161,0.00359581228
low-pass,window,34.9295182,129,68,32,36,0.000451689409,0.00305386668
low-pass,window,34.9295182,129,69,32,37,0.000396815818,0.00268286699
low-pass,window,34.9295182,129,70,32,38,0.000335961284,0.00227143022
low-pass,window,34.9295182,129,71,32,39,0.000296001255,0.00200126094
low-pass,window,34.9295182,129,72,32,40,0.000249664187,0.00168797658
low-pass,window,34.9295182,129,73,32,41,0.00022074352,0.00149244429
low-pass,window,34.9295182,129,74,32,42,0.000185341469,0.00125309145
low-pass,window,34.9295182,129,75,32,43,0.000164576844,0.00111270207
low-pass,window,34.9295182,129,76,32,44,0.000137424921,0.000929128242
low-pass,window,34.9295182,129,77,32,45,0.000122671001,0.000829377168
low-pass,window,34.9295182,129,78,32,46,0.000101754865,0.000687963422
low-pass,window,34.9295182,129,79,32,47,9.14163496e-05,0.000618064844
low-pass,window,34.9295182,129,80,32,48,7.52232439e-05,0.000508583451
low-pass,window,34.9295182,129,81,32,49,6.81149496e-05,0.000460524358
low-pass,window,34.9295182,129,82,32,50,5.55076994e-05,0.00037528689
low-pass,window,34.9295182,129,83,32,51,5.07502674e-05,0.00034312195
low-pass,window,34.9295182,129,84,32,52,4.08731657e-05,0.000276342984
low-pass,window,34.9295182,129,85,32,53,3.7815253e-05,0.000255668473
low-pass,window,34.9295182,129,86,32,54,3.00236818e-05,0.000202989753
low-pass,window,34.9295182,129,87,32,55,2.81838765e-05,0.000190550851
low-pass,window,34.9295182,129,88,32,56,2.19916233e-05,0.000148685102
low-pass,window,34.9295182,129,89,32,57,2.10150715e-05,0.000142082646
low-pass,window,34.9295182,129,90,32,58,1.60548636e-05,0.000108546741
low-pass,window,34.9295182,129,91,32,59,1.56808784e-05,0.000106018231
low-pass,window,34.9295182,129,92,32,60,1.16747995e-05,7.89331793e-05
low-pass,window,34.9295182,129,93,32,61,1.1712676e-05,7.91892618e-05
low-pass,window,34.9295182,129,94,32,62,8.44998019e-06,5.71302148e-05
low-pass,window,34.9295182,129,95,32,63,8.76094338e-06,5.92326332e-05
low-pass,window,34.9295182,129,96,32,64,6.08141113e-06,4.11163478e-05
low-pass,window,34.9295182,129,97,32,65,6.56514922e-06,4.43868952e-05
low-pass,window,34.9295182,129,98,32,66,4.34659575e-06,2.93872818e-05
low-pass,window,34.9295182,129,99,32,67,4.93122162e-06,3.33399303e-05
