target,regime,sample_rate_hz,taps,fft_size,phase_mix,phase_delay_samples,tolerance_db,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple,constraint_violation
crossover,factorisation,48000,129,1024,,36,,0.000127231464,0.229622201,0.909472491,46.4113601,0.765265455,
crossover,factorisation,48000,129,1024,,40,,0.00306449398,0.793112814,5.64798211,50.0203854,0.754301205,
crossover,factorisation,48000,129,1024,,44,,0.0240256799,0.728457098,4.13236452,54.4023813,0.763630029,
crossover,factorisation,48000,129,1024,,48,,0.0648497414,3.89636327,25.2101856,57.383436,0.559090428,
crossover,factorisation,48000,129,1024,,52,,0.0740710478,2.4779314,22.7125778,61.2498295,0.0848722981,
crossover,factorisation,48000,129,1024,,56,,0.00830584357,2.18108541,8.55557979,62.5173446,0.0484185093,
crossover,factorisation,48000,129,1024,,60,,2.05970035e-06,0.00209760215,0.00852490088,62.2206196,0.0262121299,
crossover,factorisation,48000,129,1024,,64,,1.94466965e-06,0.00405419339,0.0252609468,64,2.10565662e-14,
crossover,floor-probe,48000,129,1024,,,0.25,0.00462453182,0.986332796,4.05105614,10.3680884,0.753218405,1.06929665e-05
crossover,floor-probe,48000,129,1024,,,0.5,0.0142747378,1.92516222,6.87248084,10.2807831,0.876486857,5.49583589e-05
crossover,floor-probe,48000,129,1024,,,1,0.032937809,3.38381298,10.8266105,10.0911295,1.43933085,4.19048251e-05
crossover,floor-probe,48000,129,1024,,,2,0.0711710333,6.11456008,15.8092867,9.72851456,2.90588189,0.00049115401
deep-notch,continuum,48000,129,1024,0,,,7.19105202e-05,0.0837766963,1.19091633,8.63416656,5.96875162,
deep-notch,continuum,48000,129,1024,0.125,,,0.00232874631,2.21499951,19.6159971,15.5722397,5.24241798,
deep-notch,continuum,48000,129,1024,0.25,,,0.0062082901,3.08331827,24.9408114,22.5499364,4.67266418,
deep-notch,continuum,48000,129,1024,0.375,,,0.00558075025,2.58693335,21.3422664,29.4646177,3.99768235,
deep-notch,continuum,48000,129,1024,0.5,,,0.00192329971,0.839866142,9.94209751,36.3197658,3.07709179,
deep-notch,continuum,48000,129,1024,0.625,,,0.00229706266,1.47668144,15.3191071,43.2582116,2.36356229,
deep-notch,continuum,48000,129,1024,0.75,,,0.00177365851,1.18882876,20.3382694,50.1852685,1.54714321,
deep-notch,continuum,48000,129,1024,0.875,,,0.00123924289,1.15602124,11.9068869,57.0883231,0.771380021,
deep-notch,continuum,48000,129,1024,1,,,0.00203790368,1.55642082,14.2648269,64,8.64800027e-14,
deep-notch,continuum,48000,129,1024,1.125,,,0.00123924289,1.15602124,11.9068869,70.9116769,0.771380021,
deep-notch,continuum,48000,129,1024,1.25,,,0.00177365851,1.18882876,20.3382694,77.8147315,1.54714321,
deep-notch,continuum,48000,129,1024,1.375,,,0.00229706266,1.47668144,15.3191071,84.7417884,2.36356229,
deep-notch,continuum,48000,129,1024,1.5,,,0.00192329971,0.839866142,9.94209751,91.6802342,3.07709179,
deep-notch,continuum,48000,129,1024,1.625,,,0.00558075025,2.58693335,21.3422664,98.5353823,3.99768235,
deep-notch,continuum,48000,129,1024,1.75,,,0.0062082901,3.08331827,24.9408114,105.450064,4.67266418,
deep-notch,continuum,48000,129,1024,1.875,,,0.00232874631,2.21499951,19.6159971,112.42776,5.24241798,
deep-notch,continuum,48000,129,1024,2,,,7.19105202e-05,0.0837766963,1.19091633,119.365833,5.96875162,
deep-notch,factorisation,48000,129,1024,,0,,7.19105202e-05,0.0837766963,1.19091633,8.63416656,5.96875162,
deep-notch,factorisation,48000,129,1024,,4,,0.000493324454,0.202874275,2.54537815,12.6083274,5.96332268,
deep-notch,factorisation,48000,129,1024,,8,,0.0023182437,0.389024873,6.35647037,16.6265101,5.95175194,
deep-notch,factorisation,48000,129,1024,,12,,0.00238974777,0.446685919,5.27146026,20.7838145,5.77617053,
deep-notch,factorisation,48000,129,1024,,16,,0.00147101414,0.739188232,8.47215467,25.1900823,5.81177518,
deep-notch,factorisation,48000,129,1024,,20,,0.00732297219,0.907337668,9.76508342,27.9691727,5.58741449,
deep-notch,factorisation,48000,129,1024,,24,,0.00296164059,0.621298838,5.70426169,31.3015138,4.45060046,
deep-notch,factorisation,48000,129,1024,,28,,0.0030084538,0.64467945,6.19379349,35.5010576,4.12965693,
deep-notch,factorisation,48000,129,1024,,32,,0.00334131995,0.769865533,7.54419054,39.2869921,4.57087424,
deep-notch,factorisation,48000,129,1024,,36,,0.0138534797,1.48868454,22.9131058,43.337695,5.41527692,
deep-notch,factorisation,48000,129,1024,,40,,0.0136067877,1.28158615,13.6238787,45.2222902,3.49390841,
deep-notch,factorisation,48000,129,1024,,44,,0.00550272042,0.719494487,9.2267666,49.3653854,2.87988138,
deep-notch,factorisation,48000,129,1024,,48,,0.0073496979,0.885507721,9.80356471,52.2042621,1.97989358,
deep-notch,factorisation,48000,129,1024,,52,,0.00560289437,0.412461159,4.32157466,57.408093,1.78801549,
deep-notch,factorisation,48000,129,1024,,56,,0.00299895118,2.02439772,29.5120647,57.4654368,1.28849047,
deep-notch,factorisation,48000,129,1024,,60,,0.00202073661,1.19702875,10.9285444,61.1535136,0.866817358,
deep-notch,factorisation,48000,129,1024,,64,,0.00203790368,1.55642082,14.2648269,64,6.88137479e-14,
deep-notch,floor-probe,48000,129,1024,,,0.25,0.000912962591,0.0321377861,0.249999524,8.5938856,5.96790423,0
deep-notch,floor-probe,48000,129,1024,,,0.5,0.00300321538,0.0826801348,0.52698022,8.49078412,5.97403655,0
deep-notch,floor-probe,48000,129,1024,,,1,0.00938561029,0.193468281,1.00027705,8.1702731,5.98133629,0.000293309816
deep-notch,floor-probe,48000,129,1024,,,2,0.0353803764,0.513803688,2.00153108,6.67258465,7.18225015,0.000857130343
room-correction,continuum,48000,129,1024,0,,,0.000362513611,0.0232884322,0.273904236,0.501920795,1.21845563,
room-correction,continuum,48000,129,1024,0.125,,,0.00432788682,0.210781734,1.90179878,8.44719309,1.118647,
room-correction,continuum,48000,129,1024,0.25,,,0.00281397352,0.116768101,1.04570156,16.3812988,0.98431369,
room-correction,continuum,48000,129,1024,0.375,,,0.00402238565,0.190631057,1.56585295,24.3205758,0.860921129,
room-correction,continuum,48000,129,1024,0.5,,,0.00431424889,0.226133186,1.77700118,32.2560256,0.705864163,
room-correction,continuum,48000,129,1024,0.625,,,0.0039921868,0.213869687,1.93441213,40.1920117,0.532850082,
room-correction,continuum,48000,129,1024,0.75,,,0.0029119978,0.180409521,1.94904115,48.127014,0.357915724,
room-correction,continuum,48000,129,1024,0.875,,,0.00370492618,0.219643027,2.38762356,56.0636081,0.229753634,
room-correction,continuum,48000,129,1024,1,,,0.00331205022,0.19705397,2.01230681,64,7.60839452e-14,
room-correction,continuum,48000,129,1024,1.125,,,0.00370492618,0.219643027,2.38762356,71.9363919,0.229753634,
room-correction,continuum,48000,129,1024,1.25,,,0.0029119978,0.180409521,1.94904115,79.872986,0.357915724,
room-correction,continuum,48000,129,1024,1.375,,,0.0039921868,0.213869687,1.93441213,87.8079883,0.532850082,
room-correction,continuum,48000,129,1024,1.5,,,0.00431424889,0.226133186,1.77700118,95.7439744,0.705864163,
room-correction,continuum,48000,129,1024,1.625,,,0.00402238565,0.190631057,1.56585295,103.679424,0.860921129,
room-correction,continuum,48000,129,1024,1.75,,,0.00281397352,0.116768101,1.04570156,111.618701,0.98431369,
room-correction,continuum,48000,129,1024,1.875,,,0.00432788682,0.210781734,1.90179878,119.552807,1.118647,
room-correction,continuum,48000,129,1024,2,,,0.000362513611,0.0232884322,0.273904236,127.498079,1.21845563,
room-correction,factorisation,48000,129,1024,,0,,0.000362513611,0.0232884322,0.273904236,0.501920795,1.21845563,
