target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,sample_index,peak_index,peak_aligned_index,coefficient,normalised_coefficient
crossover,phase-interpolation,48000,129,1024,16,1,23,-22,-0.000404039952,-0.00456309968
crossover,phase-interpolation,48000,129,1024,16,2,23,-21,-0.000530889766,-0.00599570144
crossover,phase-interpolation,48000,129,1024,16,3,23,-20,-0.000673166475,-0.00760252969
crossover,phase-interpolation,48000,129,1024,16,4,23,-19,-0.0008243925,-0.00931042867
crossover,phase-interpolation,48000,129,1024,16,5,23,-18,-0.000971980277,-0.0109772384
crossover,phase-interpolation,48000,129,1024,16,6,23,-17,-0.00109671829,-0.0123859902
crossover,phase-interpolation,48000,129,1024,16,7,23,-16,-0.00116790805,-0.0131899848
crossover,phase-interpolation,48000,129,1024,16,8,23,-15,-0.00114219649,-0.0128996066
crossover,phase-interpolation,48000,129,1024,16,9,23,-14,-0.000955289337,-0.0107887362
crossover,phase-interpolation,48000,129,1024,16,10,23,-13,-0.000519595036,-0.00586814232
crossover,phase-interpolation,48000,129,1024,16,11,23,-12,0.000291848908,0.00329604944
crossover,phase-interpolation,48000,129,1024,16,12,23,-11,0.00165110928,0.018647107
crossover,phase-interpolation,48000,129,1024,16,13,23,-10,0.00381752722,0.0431139474
crossover,phase-interpolation,48000,129,1024,16,14,23,-9,0.00716221491,0.0808877945
crossover,phase-interpolation,48000,129,1024,16,15,23,-8,0.0124151348,0.140212614
crossover,phase-interpolation,48000,129,1024,16,16,23,-7,0.0212245307,0.23970315
crossover,phase-interpolation,48000,129,1024,16,17,23,-6,0.0334758646,0.378065848
crossover,phase-interpolation,48000,129,1024,16,18,23,-5,0.0473632717,0.534905841
crossover,phase-interpolation,48000,129,1024,16,19,23,-4,0.0609608511,0.688472611
crossover,phase-interpolation,48000,129,1024,16,20,23,-3,0.0726830107,0.820858981
crossover,phase-interpolation,48000,129,1024,16,21,23,-2,0.0814773849,0.920179867
crossover,phase-interpolation,48000,129,1024,16,22,23,-1,0.0867962248,0.980249166
crossover,phase-interpolation,48000,129,1024,16,23,23,0,0.0885450637,1
crossover,phase-interpolation,48000,129,1024,16,24,23,1,0.0869643416,0.982147824
