target,method,sample_rate_hz,taps,fft_size,phase_delay_samples,frequency_hz,target_magnitude_db,magnitude_db,group_delay_samples,delay_weight
parametric-eq,budde-iterative,48000,129,1024,16,9375,-1.85776705e-06,-0.00509408923,15.8582325,0
parametric-eq,budde-iterative,48000,129,1024,16,9421.875,-1.89963635e-06,-0.0027132815,15.8860267,0
parametric-eq,budde-iterative,48000,129,1024,16,9468.75,-1.89309375e-06,0.000562795622,15.9235694,0
parametric-eq,budde-iterative,48000,129,1024,16,9515.625,-1.84394727e-06,0.00361088544,15.9583347,0
parametric-eq,budde-iterative,48000,129,1024,16,9562.5,-1.78221603e-06,0.00539921002,15.9789121,0
parametric-eq,budde-iterative,48000,129,1024,16,9609.375,-1.74388356e-06,0.00533512488,15.9788299,0
parametric-eq,budde-iterative,48000,129,1024,16,9656.25,-1.74999813e-06,0.00345962641,15.9586537,0
parametric-eq,budde-iterative,48000,129,1024,16,9703.125,-1.79521436e-06,0.00042690951,15.9257238,0
parametric-eq,budde-iterative,48000,129,1024,16,9750,-1.85195249e-06,-0.00272202069,15.8916402,0
parametric-eq,budde-iterative,48000,129,1024,16,9796.875,-1.88714312e-06,-0.00491537005,15.8683134,0
parametric-eq,budde-iterative,48000,129,1024,16,9843.75,-1.88143589e-06,-0.00541583589,15.863895,0
parametric-eq,budde-iterative,48000,129,1024,16,9890.625,-1.83975329e-06,-0.00406978112,15.8799996,0
parametric-eq,budde-iterative,48000,129,1024,16,9937.5,-1.7874869e-06,-0.00135417014,15.9112091,0
parametric-eq,budde-iterative,48000,129,1024,16,9984.375,-1.75509747e-06,0.00179338085,15.9470208,0
parametric-eq,budde-iterative,48000,129,1024,16,10031.25,-1.7604197e-06,0.00429944783,15.9755046,0
parametric-eq,budde-iterative,48000,129,1024,16,10078.125,-1.79891745e-06,0.00532041339,15.9873622,0
parametric-eq,budde-iterative,48000,129,1024,16,10125,-1.84716721e-06,0.00452470464,15.9790133,0
parametric-eq,budde-iterative,48000,129,1024,16,10171.875,-1.87705049e-06,0.00219919136,15.9537285,0
parametric-eq,budde-iterative,48000,129,1024,16,10218.75,-1.87209026e-06,-0.000853133848,15.9204764,0
parametric-eq,budde-iterative,48000,129,1024,16,10265.625,-1.83646973e-06,-0.00358877236,15.8908685,0
parametric-eq,budde-iterative,48000,129,1024,16,10312.5,-1.79183793e-06,-0.005079909,15.8752022,0
parametric-eq,budde-iterative,48000,129,1024,16,10359.375,-1.76420424e-06,-0.00483005639,15.8789404,0
parametric-eq,budde-iterative,48000,129,1024,16,10406.25,-1.76882549e-06,-0.00294033736,15.9008647,0
parametric-eq,budde-iterative,48000,129,1024,16,10453.125,-1.80184082e-06,-6.9273548e-05,15.9335592,0
parametric-eq,budde-iterative,48000,129,1024,16,10500,-1.84320507e-06,0.00279788085,15.966028,0
parametric-eq,budde-iterative,48000,129,1024,16,10546.875,-1.86881313e-06,0.00468780827,15.9874854,0
parametric-eq,budde-iterative,48000,129,1024,16,10593.75,-1.86450831e-06,0.00496853104,15.9909928,0
parametric-eq,budde-iterative,48000,129,1024,16,10640.625,-1.83385696e-06,0.00355916336,15.975739,0
parametric-eq,budde-iterative,48000,129,1024,16,10687.5,-1.79545132e-06,0.000952163323,15.9472548,0
parametric-eq,budde-iterative,48000,129,1024,16,10734.375,-1.77167266e-06,-0.0019574219,15.9155136,0
parametric-eq,budde-iterative,48000,129,1024,16,10781.25,-1.77568287e-06,-0.00417799912,15.8915385,0
parametric-eq,budde-iterative,48000,129,1024,16,10828.125,-1.80418464e-06,-0.00495950565,15.8836404,0
parametric-eq,budde-iterative,48000,129,1024,16,10875,-1.83990488e-06,-0.00404789098,15.8945788,0
parametric-eq,budde-iterative,48000,129,1024,16,10921.875,-1.86202665e-06,-0.00176807811,15.9206525,0
parametric-eq,budde-iterative,48000,129,1024,16,10968.75,-1.85829023e-06,0.00109240661,15.953036,0
parametric-eq,budde-iterative,48000,129,1024,16,11015.625,-1.83174696e-06,0.00355654026,15.9808581,0
parametric-eq,budde-iterative,48000,129,1024,16,11062.5,-1.7984698e-06,0.0047914678,15.994915,0
parametric-eq,budde-iterative,48000,129,1024,16,11109.375,-1.77785275e-06,0.00438869854,15.9907487,0
parametric-eq,budde-iterative,48000,129,1024,16,11156.25,-1.78133516e-06,0.00249804283,15.9700925,0
parametric-eq,budde-iterative,48000,129,1024,16,11203.125,-1.80609058e-06,-0.000227346113,15.9402432,0
parametric-eq,budde-iterative,48000,129,1024,16,11250,-1.83714016e-06,-0.00285525768,15.9115746,0
parametric-eq,budde-iterative,48000,129,1024,16,11296.875,-1.85638715e-06,-0.00449258782,15.8940063,0
parametric-eq,budde-iterative,48000,129,1024,16,11343.75,-1.85314011e-06,-0.00458951085,15.8936137,0
parametric-eq,budde-iterative,48000,129,1024,16,11390.625,-1.83001974e-06,-0.00312510179,15.9105606,0
parametric-eq,budde-iterative,48000,129,1024,16,11437.5,-1.80100559e-06,-0.000610366458,15.9390882,0
parametric-eq,budde-iterative,48000,129,1024,16,11484.375,-1.78300915e-06,0.00209099736,15.9695505,0
parametric-eq,budde-iterative,48000,129,1024,16,11531.25,-1.78603833e-06,0.00405995124,15.9917479,0
parametric-eq,budde-iterative,48000,129,1024,16,11578.125,-1.80766071e-06,0.00463420833,15.9983827,0
parametric-eq,budde-iterative,48000,129,1024,16,11625,-1.83481122e-06,0.00362968491,15.9874809,0
parametric-eq,budde-iterative,48000,129,1024,16,11671.875,-1.85166348e-06,0.00139877179,15.9630085,0
parametric-eq,budde-iterative,48000,129,1024,16,11718.75,-1.84883579e-06,-0.00129235455,15.9335032,0
parametric-eq,budde-iterative,48000,129,1024,16,11765.625,-1.82858817e-06,-0.00352570774,15.9091723,0
parametric-eq,budde-iterative,48000,129,1024,16,11812.5,-1.80314737e-06,-0.00454450994,15.8984124,0
parametric-eq,budde-iterative,48000,129,1024,16,11859.375,-1.78734433e-06,-0.00401053913,15.9049387,0
parametric-eq,budde-iterative,48000,129,1024,16,11906.25,-1.78998582e-06,-0.00211703037,15.9265343,0
parametric-eq,budde-iterative,48000,129,1024,16,11953.125,-1.80896969e-06,0.000481463397,15.9558604,0
