target,regime,sample_rate_hz,taps,fft_size,requested_delay,minimum_phase_delay,phase_mix,predicted_delay,iterations,relative_magnitude_error,rms_magnitude_error_db,max_magnitude_error_db,mean_group_delay,group_delay_ripple
room-correction,window,48000,129,1024,8.4391807,0.501920795,0.125,8.4391807,0,0.00432788682,0.210781734,1.90179878,8.44719309,1.118647
room-correction,window,48000,129,1024,16.3764406,0.501920795,0.25,16.3764406,0,0.00281397352,0.116768101,1.04570156,16.3812988,0.98431369
room-correction,window,48000,129,1024,24.3137005,0.501920795,0.375,24.3137005,0,0.00402238565,0.190631057,1.56585295,24.3205758,0.860921129
room-correction,window,48000,129,1024,32.2509604,0.501920795,0.5,32.2509604,0,0.00431424889,0.226133186,1.77700118,32.2560256,0.705864163
room-correction,window,48000,129,1024,40.1882203,0.501920795,0.625,40.1882203,0,0.0039921868,0.213869687,1.93441213,40.1920117,0.532850082
room-correction,window,48000,129,1024,48.1254802,0.501920795,0.75,48.1254802,0,0.0029119978,0.180409521,1.94904115,48.127014,0.357915724
room-correction,window,48000,129,1024,56.0627401,0.501920795,0.875,56.0627401,0,0.00370492618,0.219643027,2.38762356,56.0636081,0.229753634
room-correction,window,48000,129,1024,64,0.501920795,1,64,0,0.00331205022,0.19705397,2.01230681,64,7.60839452e-14
room-correction,window,48000,129,1024,71.9372599,0.501920795,1.125,71.9372599,0,0.00370492618,0.219643027,2.38762356,71.9363919,0.229753634
room-correction,window,48000,129,1024,79.8745198,0.501920795,1.25,79.8745198,0,0.0029119978,0.180409521,1.94904115,79.872986,0.357915724
room-correction,window,48000,129,1024,87.8117797,0.501920795,1.375,87.8117797,0,0.0039921868,0.213869687,1.93441213,87.8079883,0.532850082
room-correction,window,48000,129,1024,95.7490396,0.501920795,1.5,95.7490396,0,0.00431424889,0.226133186,1.77700118,95.7439744,0.705864163
room-correction,window,48000,129,1024,103.6863,0.501920795,1.625,103.6863,0,0.00402238565,0.190631057,1.56585295,103.679424,0.860921129
room-correction,window,48000,129,1024,111.623559,0.501920795,1.75,111.623559,0,0.00281397352,0.116768101,1.04570156,111.618701,0.98431369
room-correction,window,48000,129,1024,119.560819,0.501920795,1.875,119.560819,0,0.00432788682,0.210781734,1.90179878,119.552807,1.118647
room-correction,window,48000,129,1024,127.498079,0.501920795,2,127.498079,0,0.000362513611,0.0232884322,0.273904236,127.498079,1.21845563
room-correction,super-maximum,48000,129,1024,127.623559,0.501920795,,,198,0.0163286334,0.662061451,5.54481269,127.623557,1.21542558
room-correction,super-maximum,48000,129,1024,127.74904,0.501920795,,,214,0.0346477137,1.03242852,7.90344978,127.749034,2.06421393
room-correction,super-maximum,48000,129,1024,127.87452,0.501920795,,,273,0.0526057807,1.25199975,8.95918722,127.874513,4.02235034
